File,RPM,Torque,Average Power,Peak Power,Energy,Time
data/12_11.json,62,13760,33247.54122,87620.55404,5457.298433,585
data/12_11.json,62,13660,32884.96747,85036.32489,5407.012048,586
data/12_11.json,64,13760,33247.54122,87620.55404,5457.298433,585
data/12_11.json,64,13660,32884.96747,85036.32489,5407.012048,586
data/12_11.json,48,14410,31557.34947,72342.84035,5175.440731,584.5
data/12_11.json,48,14260,31370.03597,71673.27829,5157.923984,586
data/12_11.json,48,14310,31329.38361,71923.23573,5146.844586,585.5
data/12_11.json,48,14360,31457.09625,71992.37078,5163.412263,585
data/12_11.json,54,13910,33138.87044,78455.56899,5430.162833,584
data/12_11.json,54,13860,32986.77408,78031.21222,5414.495745,585
data/12_11.json,54,13760,32690.35161,77623.21349,5375.012919,586
data/12_11.json,54,13810,32839.69766,78048.07493,5394.961554,585.5
data/12_11.json,60,13760,33215.94645,85518.92143,5452.112422,585
data/12_11.json,60,13660,32884.96747,85036.32489,5407.012048,586
data/12_7.json,66,16060,32261.60159,100862.6296,5295.464908,585
data/12_7.json,66,16210,32309.94683,101738.8088,5294.334722,584
data/12_7.json,66,15910,32006.39657,98698.08188,5258.06543,585.5
data/12_7.json,56,16060,32084.74189,93166.39088,5266.434907,585
data/12_7.json,56,16210,32126.8117,94956.51478,5264.326047,584
data/12_7.json,56,15910,31794.84182,92915.57404,5227.771411,586
data/12_7.json,68,16060,32261.60159,100862.6296,5295.464908,585
data/12_7.json,68,16210,32309.94683,101738.8088,5294.334722,584
data/12_7.json,68,15910,32006.39657,98698.08188,5258.06543,585.5
data/12_7.json,50,16710,31081.79212,87415.82647,5093.088271,584
data/12_7.json,50,16460,31018.98942,85791.2716,5091.500788,585
data/12_7.json,78,16060,32261.60159,100862.6296,5295.464908,585
data/12_7.json,78,16210,32309.94683,101738.8088,5294.334722,584
data/12_7.json,78,15910,32006.39657,98698.08188,5258.06543,585.5
data/12_7.json,74,16060,32261.60159,100862.6296,5295.464908,585
data/12_7.json,74,16210,32309.94683,101738.8088,5294.334722,584
data/12_7.json,74,15910,32006.39657,98698.08188,5258.06543,585.5
data/12_7.json,76,16060,32261.60159,100862.6296,5295.464908,585
data/12_7.json,76,16210,32309.94683,101738.8088,5294.334722,584
data/12_7.json,76,15910,32006.39657,98698.08188,5258.06543,585.5
data/12_7.json,72,16060,32261.60159,100862.6296,5295.464908,585
data/12_7.json,72,16210,32309.94683,101738.8088,5294.334722,584
data/12_7.json,72,15910,32006.39657,98698.08188,5258.06543,585.5
data/12_7.json,44,19710,29082.19636,90763.11693,4773.592837,585
data/12_7.json,44,20260,29351.92167,93130.59609,4809.630263,584
data/12_7.json,46,17710,29621.41054,85212.22591,4870.411497,586
data/12_7.json,46,18210,29985.45669,87650.42162,4913.441836,584
data/12_7.json,46,17960,29780.71644,86486.78829,4888.24891,585
data/12_7.json,70,16060,32261.60159,100862.6296,5295.464908,585
data/12_7.json,70,16210,32309.94683,101738.8088,5294.334722,584
data/12_7.json,70,15910,32006.39657,98698.08188,5258.06543,585.5
data/12_7.json,40,40560,27965.05289,169886.3136,4590.223328,585
data/12_7.json,42,23760,28517.61795,104275.7546,4680.922138,585
data/12_7.json,42,23260,28325.38835,102237.9191,4653.343119,585.5
data/12_7.json,42,24310,28570.48351,105948.698,4681.583157,584
data/12_7.json,52,16210,31384.42036,88165.72216,5151.48314,585
data/12_7.json,58,16060,32189.65616,97152.00314,5283.655683,585
data/12_7.json,58,16210,32299.29558,97542.80998,5292.589399,584
data/12_7.json,58,15910,31967.50721,96566.29177,5251.67662,585.5
data/12_7.json,62,16060,32261.60159,100862.6296,5295.464908,585
data/12_7.json,62,16210,32309.94683,101738.8088,5294.334722,584
data/12_7.json,62,15910,32006.39657,98698.08188,5258.06543,585.5
data/12_7.json,64,16060,32261.60159,100862.6296,5295.464908,585
data/12_7.json,64,16210,32309.94683,101738.8088,5294.334722,584
data/12_7.json,64,15910,32006.39657,98698.08188,5258.06543,585.5
data/12_7.json,48,17210,30518.42167,86499.99364,5000.773921,584
data/12_7.json,48,16960,30418.962,85137.84509,4993.01144,585
data/12_7.json,48,16710,30217.89686,83933.63588,4968.48697,586
data/12_7.json,54,16110,31779.50257,90472.49455,5216.332492,585
data/12_7.json,54,16060,31732.08401,89822.20599,5213.000894,585.5
data/12_7.json,54,16210,31860.79993,91563.89491,5225.206947,584.5
data/12_7.json,54,15910,31561.94226,89793.19533,5189.4776,586
data/12_7.json,60,16060,32261.60159,100862.6296,5295.464908,585
data/12_7.json,60,16210,32309.94683,101738.8088,5294.334722,584
data/12_7.json,60,15910,32006.39657,98698.08188,5258.06543,585.5
data/13_12.json,66,12160,31863.16816,78197.3385,5234.535622,585.5
data/13_12.json,66,12260,32015.07389,78943.16385,5254.999503,585
data/13_12.json,56,12160,31628.69142,70443.07266,5196.015384,585.5
data/13_12.json,56,12260,31877.29633,71876.8408,5232.384498,585
data/13_12.json,38,28360,27080.63579,112679.0917,4437.455472,584
data/13_12.json,38,27310,26891.16616,108604.7037,4413.954041,585
data/13_12.json,38,26310,26743.78494,104359.6419,4393.514613,585.5
data/13_12.json,68,12160,31863.16816,78197.3385,5234.535622,585.5
data/13_12.json,68,12260,32015.07389,78943.16385,5254.999503,585
data/13_12.json,50,12460,30910.17839,65213.78058,5069.303947,584.5
data/13_12.json,50,12410,30728.8019,64887.56771,5048.179998,585.5
data/13_12.json,50,12510,31044.34021,65365.85634,5086.95137,584
data/13_12.json,78,12160,31863.16816,78197.3385,5234.535622,585.5
data/13_12.json,78,12260,32015.07389,78943.16385,5254.999503,585
data/13_12.json,74,12160,31863.16816,78197.3385,5234.535622,585.5
data/13_12.json,74,12260,32015.07389,78943.16385,5254.999503,585
data/13_12.json,76,12160,31863.16816,78197.3385,5234.535622,585.5
data/13_12.json,76,12260,32015.07389,78943.16385,5254.999503,585
data/13_12.json,72,12160,31863.16816,78197.3385,5234.535622,585.5
data/13_12.json,72,12260,32015.07389,78943.16385,5254.999503,585
