Distance,Speed
17.4801674,27.2780489
17.7737885,27.1619549
18.0668507,27.048785
18.3599148,26.9350395
18.6520863,26.821062
18.9451504,26.7061925
19.2376575,26.5909912
19.5287189,26.4820041
19.8206711,26.3785021
20.1126232,26.2825704
20.4036846,26.1970322
20.6950798,26.1250116
20.98592,26.065231
21.2753181,26.0047316
21.5656013,25.9366043
21.8558846,25.8748603
22.1497192,25.8129785
22.4483433,25.7352288
22.7491932,25.6466361
23.0496788,25.5571589
23.3510838,25.4637074
23.6569386,25.3654293
23.9662952,25.2609023
24.2788239,25.1600923
24.5919056,25.0648835
24.9040356,24.9757385
25.2182312,24.893081
25.5329838,24.8084715
25.8482914,24.7219188
26.1631908,24.6261731
26.4790554,24.5227291
26.7993679,24.4144927
27.1225853,24.3029121
27.4490147,24.1975787
27.776001,24.101231
28.1019897,24.013437
28.431757,23.9341614
28.7643032,23.8511453
29.0969448,23.7657571
29.43116,23.6782515
29.7653751,23.5843794
30.1030083,23.483741
30.4461193,23.3745026
30.7914581,23.2851682
31.1362953,23.2298016
31.4821892,23.1896229
31.8319759,23.1896229
32.1845741,23.5024967
32.5399246,23.748518
32.8958244,24.1843071
33.2506447,24.8267891
33.6104393,24.7872027
33.9741287,24.7474982
34.3405952,24.7168663
34.7065048,24.7026806
35.0740852,24.6666493
35.4450035,24.6187939
35.8175621,24.5369958
36.1934814,24.4306517
36.5699615,24.3324852
36.9464035,24.2398551
37.3284416,24.1508833
37.7154846,24.0692678
38.1041222,23.9792235
38.494503,23.8856865
38.8854408,23.797297
39.2796211,23.7199919
39.6789017,23.6604725
40.0804024,23.660429
40.4812355,23.8594227
40.8838539,24.0571537
41.2898026,25.7838497
41.6983986,27.0997568
42.1104698,27.0302072
42.5236511,26.9457752
42.9366798,26.8526969
43.35709,26.7502151
43.7836189,26.6450691
44.2134819,26.5366673
44.6425896,26.4295793
45.0735664,26.3196725
45.5089912,26.2245623
45.9480782,26.1597012
46.3912888,26.0731617
46.8350563,25.9695517
47.2785797,25.8742374
47.7284622,25.7818432
48.1833496,25.6961569
48.6396255,25.6232778
49.0978508,25.5580911
49.5571861,25.4831766
50.0212212,25.4242897
50.492794,25.4242897
50.967701,26.2186146
51.4417152,26.9139233
51.9177361,27.512757
52.3982048,27.440512
52.8810921,27.3560085
53.3676796,27.2588336
53.8542633,27.1682761
54.3393669,27.0770681
54.8281784,26.9803122
55.3186569,26.8791979
55.8102493,26.7877625
56.3008957,26.7093354
56.7930412,26.629801
57.2840767,26.5431101
57.7730598,26.4331105
58.2629814,26.3009553
58.7529068,26.1884481
59.241333,26.1056029
59.7301445,26.0392141
60.218399,25.9982779
60.7046127,25.9297958
61.1917534,25.8460304
61.6788979,25.7559269
62.1634445,25.659434
62.6489182,25.5650872
63.1338348,25.4677528
63.6172752,25.3768539
64.1021957,25.2983286
64.5871124,25.2448673
65.070549,25.2448673
65.5554657,25.2243894
66.04039,25.1451679
66.5238266,25.0856076
67.0076294,25.0712205
67.489769,25.0711632
67.9713516,25.0712203
68.4514618,25.0711632
68.9330444,25.0809223
69.4162979,25.0314936
69.8997345,24.9610545
70.3852081,24.8920844
70.8712387,24.8194416
71.3557892,24.7496685
71.8445969,24.6819685
72.3361893,24.6306113
72.8273926,24.6305523
73.3206482,25.0085373
73.8139114,25.2700917
74.3084335,25.2331804
74.8072586,25.1969039
75.3077469,25.1688847
75.8072662,25.1582119
76.3088608,25.1581516
76.8126907,25.2969913
77.317749,25.6099224
77.82547,26.0111465
78.3331833,26.1491394
78.8393555,26.1313708
79.3481827,26.0868695
79.8575745,26.0481628
80.3675156,26.0171579
80.8764572,26.0170231
81.3869553,26.0861752
81.9002304,26.043683
82.4147186,25.9636524
82.9318924,25.8595715
83.4496231,25.770145
