dists,speed
1433,56.0174354
1436.999878,55.34651
1439.999878,54.7333567
1444,53.8862975
1448,53.0233312
1451,52.3656789
1454.999878,51.4734114
1459,50.558986
1463,49.6244511
1466,48.9107961
1469.999878,47.9963056
1472.999878,47.3006162
1477,46.3501145
1480,45.6206064
1484,44.6395082
1487,43.9208133
1490.999878,42.9958479
1494,42.3318276
1497,41.699526
1500.999878,40.913913
1504,40.3878035
1507,39.9297391
1510.999878,39.3755416
1514,39.0340357
1517,38.7966314
1520,38.7963257
1523.999878,38.7963257
1527,38.8431625
1530,38.8768845
1533,39.3919678
1537,40.4508934
1540,41.972641
1543,43.7672272
1546.999878,45.6925163
1550,48.6375504
1554,51.6480628
1556.999878,51.2298179
1560,50.7237368
1564,49.96062
1568,49.1722705
1571,48.5652145
1574.999878,47.7034938
1578,47.0407247
1582,46.1508322
1584.999878,45.5082559
1589,44.7039479
1592,44.1504046
1596,43.4635066
1599,43.0005337
1602.999878,42.4650155
1606,42.1392405
1610,41.7788165
1612.999878,41.5421013
1615.999878,41.3797914
1620,41.3069201
1622.999878,41.3066406
1627,41.3066406
1630,41.6108894
1634,41.8232422
1637,42.3237953
1640.999878,43.1630898
1643.999878,44.3040352
1648,45.6515884
1650.999878,46.9989128
1655,49.0566711
1658.999878,50.0290184
1662,49.601541
1666,48.9039271
1670,48.0966176
1673,47.4331701
1676.999878,46.5241162
1681,45.8317395
1685,45.1016385
1688,44.3708185
1691.999878,43.367987
1694.999878,42.6246857
1699,41.650292
1702,40.9314975
1706,39.9846014
1709,39.2926204
1713,38.3851401
1716,37.7149242
1719,37.0461444
1722.999878,36.1444023
1726,35.4704307
1729,34.8007475
1732,34.1328911
1735,33.4630438
1737.999878,32.7878476
1740.999878,32.1232741
1744,31.4892693
1747,30.8993374
1750,30.3472609
1753,29.8399434
1755.999878,29.4109267
1758,29.2141651
1760.999878,29.0026399
1763,28.8470177
1765.999878,28.8465919
1768.999878,28.8465919
1770.999878,29.1661854
1773.999878,29.7971001
1775.999878,30.6611423
1778.999878,31.4806633
1782,32.8627892
1785,34.8484993
1787,37.2777863
1790,39.7898483
1793,43.005909
1796,43.5548165
1798.999878,42.9605761
1801.999878,42.3417434
1805,42.3416367
1808,42.3416367
1811,61.9986527
1814,61.6903456
1816.999878,61.3725514
1819.999878,61.0893149
1824,60.7895767
1827,60.6123131
1829.999878,60.4236233
1834,60.134511
1837,59.8735148
1841,59.4740423
1844,59.1340323
1847.999878,58.6255411
1852,58.069978
1855,57.627687
1859,57.0030588
1862.999878,56.345335
1865.999878,55.8340981
1870,55.1353105
1874,54.4262998
1878,53.7017182
1880.999878,53.1592475
1885,52.4511875
1889,51.7710571
1893,51.124636
1895.999878,50.6656819
1900,50.1073022
1903.999878,49.6173126
1908,49.1928665
1912,48.8079845
1915,48.5837877
1918.999878,48.3724647
1923,48.2132143
1926,48.0688084
1930,47.7813468
1934,47.4292961
1936.999878,47.1055094
1941,46.576301
1944,46.1175837
1948,45.4242802
1951,44.8520912
1954,44.2255986
1958,43.3114956
1961,42.5763614
1964,41.8047614
1967,41.0121558
1971,39.9412698
1974,39.1974573
1977,38.4248498
1980,37.6161794
1982.999878,36.7764912
1986,35.9513821
1989,35.1594952
1992,34.4045437
1995,33.6753932
1998,32.9794649
2001.000122,32.3271975
2004.000244,31.7215013
2006,31.3598981
2009.000122,30.8436668
2012.000122,30.3577262
2015.000122,29.9169868
2017.000244,29.6821107
2020,29.3845441
2023,29.0877188
2025.000122,28.9445363
2028.000122,28.8162708
2030,28.8162708
2033,28.8162708
2036,29.0115395
2038.000122,29.1410656
2041.000122,29.4808331
2044.000122,30.053669
2046,30.8199158
2049,31.7092285
2052,32.6293945
2054.000244,34.0096359
2057.000244,35.5057871
2060.000244,34.9480204
2062,34.4763999
2065,33.6346799
2068,32.7460632
2070.000244,32.7460632
2073.000244,32.7460632
2076,33.5297639
2079,32.7107206
2081,32.1714374
2084,31.4427983
2086,31.0304108
2089,30.475927
2092,30.0215531
2094,29.8211234
2097,29.8203793
2099,29.8203793
2102,29.9588699
2105,30.0277081
2107,30.3768578
2110.000244,30.943161
2113.000244,31.5871124
2116.000244,32.1776619
2118,32.8149033
2121,33.5378036
2124,34.2402115
2127,34.8163834
2130,35.2284813
2133.000244,35.6680489
2136.000244,36.0491257
2139.000244,35.9580735
2142.000244,35.7053736
2145,35.4163738
2148,35.0756511
2151,34.7187733
2154,34.3796394
2157,34.0800515
2160,33.8154028
2163,33.5948924
2167,33.3610954
2170,33.3610954
2173,33.3610954
2176,33.5042191
2179.000244,33.5414391
2182.000244,33.7846375
2186,34.2317085
2189.000244,34.8190269
2192.000244,35.4722519
2195.000244,36.1673508
2199,37.15522
2202.000244,38.445015
2206,39.9595299
2209,41.5587196
2212.000244,43.3732338
2216,45.907505
2219,46.1395024
2222,45.6150515
2226,44.7995461
2229,44.1093255
2232,43.3998206
2236,42.3890411
2239,41.5907269
2242,40.7525983
2245.000244,39.8936793
2249,38.7322051
2252,37.8623559
2255,37.0093789
2258.000244,36.1842045
2261.000244,35.3786134
2264.000244,34.6261556
2267.000244,33.9590025
2270,33.3850977
2273,32.869298
2275,32.6145602
2278,32.3933334
2281.000244,32.3933334
2284.000244,32.3933334
2286,32.8453598
2289,33.0770416
2292,33.7391205
2295,34.7019577
2297.000244,35.6359215
2300.000244,36.2454376
2303,37.1649857
2306,37.8587265
2308,38.1998482
2311,38.3117332
2314.000244,38.3894539
2317.000244,38.4200249
2319,38.4829292
2322,38.828701
2325,38.7268305
2328,38.3734396
2331,37.9156337
2333.000244,37.5466753
2336,36.9048583
2339,36.1935058
2342,35.4412722
2344,34.9199878
2347,34.1161522
2350.000244,33.2990007
2352,32.760498
2355,31.9567455
2357,31.4282688
2360.000244,30.6612054
2363.000244,29.9429917
2365,29.520714
2368,28.930608
2370.000244,28.5907595
2372,28.3137288
2375,27.9317452
2377,27.6967593
2379.000244,27.4992169
2382,27.222295
2384,27.0445576
2387,27.0445576
2389.000244,27.0445576
2391,27.477375
2394,27.8342438
2396.000244,28.5963688
2399.000244,29.8230343
2401,30.9503687
2403,30.5309586
2406.000244,29.6851526
2409.000244,28.6722085
2411,27.9605241
2414,27.9600048
2416.000244,27.9600048
2419.000244,34.3679821
2422.000244,33.5574673
2424,33.0119519
2427,32.2430342
2430,31.5082839
2432.000244,31.057758
2435.000244,30.4360138
2438,29.8598409
