Distance ,Speed
42.1104698,25.7592667
42.5236511,25.6845317
42.9366798,25.6028251
43.35709,25.5133888
43.7836189,25.4217995
44.2134819,25.3276007
44.6425896,25.2346356
45.0735664,25.1394438
45.5089912,25.0567073
45.9480782,24.999018
46.3912888,24.9235952
46.8350563,24.834078
47.2785797,24.7517109
47.7284622,24.6719639
48.1833496,24.5980542
48.6396255,24.5351465
49.0978508,24.4789479
49.5571861,24.41477
50.0212212,24.3644883
50.492794,24.3644733
50.967701,25.1256866
51.4417152,25.7920113
51.9177361,26.1937162
52.3982048,26.126976
52.8810921,26.0506022
53.3676796,25.9640964
53.8542633,25.8830241
54.3393669,25.8015554
54.8281784,25.7156572
55.3186569,25.6263176
55.8102493,25.544959
56.3008957,25.4741936
56.7930412,25.4026239
57.2840767,25.3254294
57.7730598,25.2293196
58.2629814,25.1149499
58.7529068,25.0171617
59.241333,24.9441138
59.7301445,24.8846192
60.218399,24.8451047
60.7046127,24.7840754
61.1917534,24.7106947
61.6788979,24.6322664
62.1634445,24.5487421
62.6489182,24.4672546
63.1338348,24.3835056
63.6172752,24.3054706
64.1021957,24.2382119
64.5871124,24.1925648
65.070549,24.1925297
65.5554657,24.1572764
66.04039,24.0893434
66.5238266,24.038409
67.0076294,24.026126
67.489769,24.0260677
67.9713516,24.0254977
68.4514618,24.019593
68.9330444,23.9947976
69.4162979,23.9502738
69.8997345,23.8887638
70.3852081,23.8287197
70.8712387,23.7658779
71.3557892,23.7057488
71.8445969,23.6476807
72.3361893,23.6038246
72.8273926,23.6038246
73.3206482,23.9660511
73.8139114,24.206132
74.3084335,24.1739792
74.8072586,24.1426506
75.3077469,24.1185931
75.8072662,24.1094774
76.3088608,24.1094303
76.8126907,24.2424831
77.317749,24.5423698
77.82547,24.9268684
78.3331833,25.0591087
78.8393555,25.0308504
79.3481827,24.9923686
79.8575745,24.9590566
80.3675156,24.9325787
80.8764572,24.9325008
81.3869553,24.9559362
81.9002304,24.9167105
82.4147186,24.8470862
82.9318924,24.7575267
83.4496231,24.6806373
83.9657669,24.6073432
84.4879456,24.5544071
85.0140152,24.5544071
85.5406952,24.5802517
86.0695496,24.5802517
86.5983963,24.5860818
87.1289597,24.5108004
87.6650391,24.4378197
88.2027893,24.3700474
88.7394485,24.3161347
89.2777557,24.2703447
89.8193893,24.2327156
90.3632584,24.2327156
90.9110184,24.3616467
91.4593353,24.4921551
92.0065308,24.8331146
92.5581741,25.2963314
93.1126099,25.8467445
93.6687088,26.348671
94.2231064,26.348671
94.7792053,26.6111794
95.338089,27.1498318
95.8980331,27.6570873
96.4613647,27.7320462
97.0252457,27.6455822
97.58741,27.568726
98.1546326,27.5013438
98.7257462,27.4385542
99.2967834,27.3837732
99.8701172,27.3499905
100.4434586,27.3499184
101.0189285,27.3682127
101.6000519,27.301589
102.1833954,27.2144183
102.7655182,27.1119989
103.3494263,27.0219756
103.9372177,26.9426699
104.5271072,26.8800058
105.1210175,26.8798866
105.7154846,27.3987465
106.3087006,27.5516716
106.9070587,27.4792648
107.5087585,27.397178
108.1121216,27.3240827
108.7142105,27.2570036
109.3186874,27.2095895
109.9264984,27.1838593
110.5363464,27.1604481
111.1497192,27.1603184
111.7636566,27.3954792
112.3757172,27.8605423
112.9918747,28.3178043
113.6096954,28.3703457
114.2273026,28.3070946
114.8473511,28.2342012
115.4685135,28.1646983
116.0927734,28.0984435
116.7239456,28.0459843
117.3578949,28.0459843
117.9899139,28.1666126
118.6238708,28.5621567
119.2611618,29.6102562
119.8992767,30.7355347
120.5415726,32.0717506
121.1844177,33.5618363
121.8258667,33.4761031
122.4720535,33.3610204
123.1210175,33.2430063
123.7722092,33.1228952
124.4219666,33.00351
125.0742722,32.8805155
125.7304688,32.7692084
126.3885422,32.6708473
127.0508575,32.5987778
127.7137299,32.5987778
128.3756866,33.0187416
129.0446777,33.6253967
129.7186584,37.3647194
130.3928223,42.8955154
131.0695953,50.3169897
131.7463684,50.2008768
132.4232941,50.0795068
133.1039581,49.9586952
133.7857361,49.8365632
134.4654236,49.7137995
135.1472015,49.5902524
135.8289795,49.4663636
136.5086823,49.3425746
137.1910095,49.2182512
137.8739014,49.094014
138.5558167,48.9703527
139.2442627,48.8466767
139.9377289,48.7230424
140.6334076,48.605372
141.3275146,48.4979932
142.0237427,48.4022371
142.7216492,48.3195001
143.4190979,48.2272193
144.1192169,48.1266889
144.8193512,48.019468
145.5173492,47.9067714
146.2185822,47.7873886
146.9203796,47.662058
147.6211395,47.5356241
148.3246155,47.4074816
149.0286255,47.2767531
149.7343903,47.1434232
150.4461975,47.0085432
151.159668,46.8729409
151.871521,46.736923
152.5861053,46.5997014
153.3034668,46.4613155
154.0214233,46.3223921
154.7437897,46.1819193
155.4667206,46.0408179
156.1880035,45.8996059
156.9159393,45.7566496
157.64888,45.6124417
158.3840332,45.4678843
159.1175079,45.3234499
159.8532257,45.1787193
160.5911713,45.0334139
161.3290863,44.8880116
162.0703583,44.7440682
162.8110809,44.6025207
163.5495453,44.4608798
164.2897186,44.3183799
165.0293274,44.1779673
165.7661285,44.040392
166.505188,43.9050767
167.2442474,43.7714302
167.9821472,43.6398558
168.7228699,43.5112552
169.4641571,43.3819373
170.2026215,43.2524123
170.9433441,43.1219412
171.6829529,42.9925861
172.4192047,42.8662688
173.1571503,42.7405358
173.8950806,42.6192327
174.6307831,42.5032409
175.3687286,42.3902419
176.1066589,42.2808566
176.8446045,42.1707575
177.5797424,42.0579712
178.3171387,41.9419949
179.0539551,41.8253865
179.7879944,41.704443
180.5242615,41.5804492
181.2605438,41.4490164
181.9945679,41.3115687
182.7308502,41.1704272
183.4671173,41.0262351
184.2011566,40.8828791
184.9368744,40.7384191
185.6725922,40.5992917
186.4055023,40.4655548
187.1401062,40.3425548
187.8741608,40.2338966
188.605423,40.1353674
189.3383636,40.0523376
190.0701904,39.9769117
190.7986755,39.910061
191.5288239,39.8517244
192.2595367,39.8049015
192.9880219,39.7420475
193.7209625,39.6662744
194.456131,39.570665
195.1923981,39.4602483
195.9264374,39.3467145
196.6627045,39.231723
197.3989868,39.1252285
198.1330109,39.0260305
198.869278,38.941429
199.6055603,38.8768597
200.3395844,38.8222489
201.0758667,38.7725415
201.8121338,38.7213732
202.5461731,38.6621012
203.2829895,38.6137253
204.0198212,38.5676
204.7566223,38.5328705
205.4979095,38.532795
206.2402954,38.5805418
206.980423,38.528037
207.7228241,38.4613294
208.4663239,38.3791594
209.2086639,38.3075848
209.9538422,38.2433124
210.6995697,38.1887687
211.4430237,38.1430218
212.190979,38.1082611
212.9411469,38.1082611
213.6924438,38.324173
214.4414368,38.5437965
215.1927338,39.0234756
215.9445801,39.52005
216.6946869,40.0385435
217.4470825,39.9645505
218.1994781,39.8892489
218.9496002,39.8128712
219.7019958,39.7603646
220.4543915,39.7602959
221.2044983,40.0345459
221.9574585,40.2839851
222.7104187,40.9177017
223.4633026,41.5746918
224.2207031,41.9123955
224.9792175,42.5138054
225.7359772,42.5138054
226.4950562,42.6383858
227.2563629,43.3295021
228.0169983,44.0170479
228.7810822,44.7016983
229.5457153,45.7706642
230.3085632,46.2665977
231.0759888,47.1893044
231.8461761,48.0517502
232.6174927,48.8875008
233.3864441,49.3220634
234.1577606,49.8401833
234.9301758,50.3719788
235.701355,50.8815193
236.4754486,52.4233627
237.2500916,54.6551323
238.0223694,55.3780899
238.7986908,56.1241951
239.5766602,56.6136604
240.3533783,56.581739
241.1330414,56.5491672
241.9126892,56.5253716
242.6921692,56.5253716
243.4757233,56.6056099
244.260376,56.6457214
245.0431976,57.1418697
245.8283997,57.1001713
246.6158295,57.0432502
247.4030914,56.9801713
248.1938629,56.9115445
248.9851837,56.8518616
249.7741089,56.8025064
250.5671082,56.7665623
251.3617706,56.7665024
252.157547,57.1650901
252.9514465,57.0876867
253.7477875,57.0209668
254.5457764,56.9626189
255.3430176,56.9148107
256.1443481,56.8731948
256.9462585,56.8523437
257.7462463,56.8523216
258.5520325,57.7582321
259.3617249,59.2079239
260.1705933,59.2485008
260.9824829,59.2485008
261.7944031,61.556385
262.6054993,61.9760369
263.4207458,61.9255606
264.2370911,61.8742934
265.0515137,61.8290771
265.8689575,61.7890241
266.689209,61.7392727
267.5097351,61.6823181
268.3344116,61.6147534
269.159668,61.5388351
269.9824219,61.470008
270.8093262,61.4089218
