distance,speed
10.2035179,28.0794452
10.4474554,27.9853785
10.6971436,27.8898361
10.9518366,27.7976544
11.2093105,27.7098712
11.4665537,27.6117026
11.7245836,27.5088627
11.9887304,27.4080239
12.2581701,27.3167671
12.5317707,27.223378
12.8059273,27.1290719
13.0798025,27.0297081
13.3622999,26.9231738
13.6525841,26.819588
13.9458628,26.7201815
14.2405949,26.6134522
14.5358829,26.5011274
14.8302717,26.3884922
15.1255598,26.274851
15.4208479,26.1543026
15.7152367,26.030557
16.0105247,25.9069273
16.3052559,25.7847485
16.5985355,25.6607413
16.8927116,25.5346731
17.1868877,25.408402
17.4801674,25.2818784
17.7737885,25.1568666
18.0668507,25.0352838
18.3599148,24.9129688
18.6520863,24.7902891
18.9451504,24.6665367
19.2376575,24.5423118
19.5287189,24.4253386
19.8206711,24.3148699
20.1126232,24.2134005
20.4036846,24.1244184
20.6950798,24.0522194
20.98592,23.9959753
21.2753181,23.9386607
21.5656013,23.8713649
21.8558846,23.812421
22.1497192,23.7535917
22.4483433,23.6745923
22.7491932,23.5822516
23.0496788,23.4887138
23.3510838,23.390308
23.6569386,23.2861959
23.9662952,23.1746686
24.2788239,23.0675338
24.5919056,22.9669389
24.9040356,22.8734081
25.2182312,22.7876461
25.5329838,22.6993895
25.8482914,22.608651
26.1631908,22.5067907
26.4790554,22.3957426
26.7993679,22.2790455
27.1225853,22.158339
27.4490147,22.0446824
27.776001,21.941173
28.1019897,21.8472934
28.431757,21.7631648
28.7643032,21.6744373
29.0969448,21.5826439
29.43116,21.488105
29.7653751,21.3859507
30.1030083,21.2758117
30.4461193,21.1556705
30.7914581,21.0573415
31.1362953,20.9964684
31.4821892,20.9520073
31.8319759,20.9520073
32.1845741,21.2346916
32.5399246,21.456974
32.8958244,21.8507118
33.2506447,22.4759916
33.6104393,22.4346675
33.9741287,22.3928814
34.3405952,22.3615875
34.7065048,22.3615875
35.0740852,22.4563166
35.4450035,22.41361
35.8175621,22.3279398
36.1934814,22.2133301
36.5699615,22.1077867
36.9464035,22.0082337
37.3284416,21.9125754
37.7154846,21.8250249
38.1041222,21.7273563
38.494503,21.6252302
38.8854408,21.528353
39.2796211,21.4433139
39.6789017,21.3774585
40.0804024,21.3773842
40.4812355,21.5571785
40.8838539,21.7358284
41.2898026,23.2959118
41.6983986,24.7536889
42.1104698,24.6860465
42.5236511,24.5996108
42.9366798,24.5024559
43.35709,24.3940725
43.7836189,24.2824203
44.2134819,24.1667127
44.6425896,24.052169
45.0735664,23.9340287
45.5089912,23.8327634
45.9480782,23.7673169
46.3912888,23.6756307
46.8350563,23.5637396
47.2785797,23.4608628
47.7284622,23.360885
48.1833496,23.2680461
48.6396255,23.1892171
49.0978508,23.1185344
49.5571861,23.0362054
